i,j,term1,term2,term3,term4,d_cpp
1,1,-2.4404849167820849e-40,-6.6708876986447459e-35,1.3101516717220355e-37,-7.9291553623082736e-66,-6.6578105867766929e-35
1,2,-4.5460130743583789e-43,-1.2426195501999632e-37,-1.3101516717220355e-37,-2.5787443948209211e-69,-2.5527757679350731e-37
1,3,-8.4680854735569931e-46,-2.3146894630722958e-40,-2.4404849167820849e-40,-8.947823360692142e-75,-4.7551828479398545e-40
1,4,-1.5773925506711799e-48,-4.3116876034951604e-43,-4.5460130743583789e-43,-3.1047490807908465e-80,-8.8577164517790457e-43
1,5,-2.9382878416646221e-51,-8.0315957223300264e-46,-8.4680854735569931e-46,-1.0772974014013127e-85,-1.6499710578765435e-45
1,6,-5.4732954309950148e-54,-1.4960854259167435e-48,-1.5773925506711799e-48,-3.7380466532593329e-91,-3.0734834498833543e-48
1,7,-1.0195380605726991e-56,-2.7868330018373279e-51,-2.9382878416646221e-51,-1.2970413521621509e-96,-5.7251310388825555e-51
1,8,-1.8991444369509813e-59,-5.1911729407902495e-54,-5.4732954309950148e-54,-4.5005223991834086e-102,-1.0664487363229634e-53
1,9,-3.5376311408873368e-62,-9.6698569607243001e-57,-1.0195380605726991e-56,-1.5616080267438863e-107,-1.9865272942762701e-56
1,10,-6.5897221114303576e-65,-1.8012525243790823e-59,-1.8991444369509813e-59,-5.4185257018905321e-113,-3.7004035510521748e-59
1,11,-1.2275004311213211e-67,-3.3552829889419514e-62,-3.5376311408873368e-62,-1.8801402323262761e-118,-6.892926404833599e-62
1,12,-2.2865263252747004e-70,-6.2500531066647651e-65,-6.5897221114303576e-65,-6.5237806143072523e-124,-1.2839798083358376e-64
1,13,-4.2592267209211995e-73,-1.1642285901031552e-67,-1.2275004311213211e-67,-2.2636456989674894e-129,-2.3917332804511971e-67
1,14,-7.9338742177086982e-76,-2.1686667087167868e-70,-2.2865263252747004e-70,-7.8544821682329529e-135,-4.4552009678657049e-70
1,15,-1.4778823534617701e-78,-4.0396837300480536e-73,-4.2592267209211995e-73,-2.7253774810797111e-140,-8.2989252297927872e-73
1,16,-2.7529252301462356e-81,-7.524920529845287e-76,-7.9338742177086982e-76,-9.4566163055500663e-146,-1.5458822276806288e-75
1,17,-5.128011241912261e-84,-1.4017045086797798e-78,-1.4778823534617701e-78,-3.2812919520772902e-151,-2.8795919901527915e-78
1,18,-9.5522025114287788e-87,-2.6110249561580676e-81,-2.7529252301462356e-81,-1.138554904511473e-156,-5.3639597385068151e-81
1,19,-1.7793364428218634e-89,-4.863686518424182e-84,-5.128011241912261e-84,-3.9506002194241689e-162,-9.9917155537008713e-84
1,20,-3.3144588164865906e-92,-9.0598316548871906e-87,-9.5522025114287788e-87,-1.3707939803228886e-167,-1.8612067310904132e-86
1,21,-6.177567133502903e-95,-1.6876200690186962e-89,-1.7793364428218634e-89,-4.7564320159015941e-173,-3.466962689407693e-89
1,22,-1.9222579380453478e-95,-3.1454264027516175e-92,-3.3144588164865906e-92,-1.6504254219550661e-178,-6.4618074771762527e-92
1,23,-1.0257723426170195e-92,-9.7875437701609216e-93,-6.177567133502903e-95,-1.7714122365342215e-179,-2.0107042867666146e-92
1,24,-5.5067634803943932e-90,-5.2229159796283983e-90,-1.9222579380453478e-95,-5.1044235122942469e-174,-1.0729698682602171e-89
1,25,-2.9562548532891658e-87,-2.8038738989986844e-87,-1.0257723426170195e-92,-1.4710844174359785e-168,-5.7601390100112761e-87
1,26,-1.5870379740679303e-84,-1.5052336733612578e-84,-5.5067634803943932e-90,-4.2396352083083382e-163,-3.0922771541926686e-84
1,27,-8.5198660336449512e-82,-8.0807072394729459e-82,-2.9562548532891658e-87,-1.2218541972496937e-157,-1.6600602835666431e-81
1,28,-4.5738109873450298e-79,-4.3380526655544007e-79,-1.5870379740679303e-84,-3.5213588103312038e-152,-8.9118795232791711e-79
1,29,-2.4554079683114772e-76,-2.3288433018829514e-76,-8.5198660336449512e-82,-1.0148484081823042e-146,-4.7842597900604618e-76
1,30,-1.3181629733998213e-73,-1.2502179071705588e-73,-4.5738109873450298e-79,-2.9247723593759179e-141,-2.5683854543813673e-73
1,31,-7.0764355531399953e-71,-6.7116787726600389e-71,-2.4554079683114772e-76,-8.4291341299839809e-136,-1.3788138879879717e-70
1,32,-3.7989187337425585e-68,-3.6031024423032805e-68,-1.3181629733998213e-73,-2.4292592192173659e-130,-7.4020343576755733e-68
1,33,-2.0394142555536182e-65,-1.9342920973237479e-65,-7.0764355531399953e-71,-7.0010753929760795e-125,-3.9737134293129187e-65
1,34,-1.0948406105170394e-62,-1.0384067557561204e-62,-3.7989187337425585e-68,-2.0176956115011201e-119,-2.1332511651918936e-62
1,35,-5.8775501797791029e-60,-5.5745902694419944e-60,-2.0394142555536182e-65,-5.8149574917522796e-114,-1.1452160843363652e-59
1,36,-3.155308250714885e-57,-2.9926670353304087e-57,-1.0948406105170394e-62,-1.6758588579042066e-108,-6.1479862344513989e-57
1,37,-1.6938979425954646e-54,-1.606585515970088e-54,-5.8775501797791029e-60,-4.8297909582305083e-103,-3.3004893361157322e-54
1,38,-9.0935338545103002e-52,-8.6248051976818134e-52,-3.155308250714885e-57,-1.3919358775462316e-97,-1.7718370605274623e-51
1,39,-4.8817792314228862e-49,-4.6301466033722287e-49,-1.6938979425954646e-54,-4.0115307348834702e-92,-9.511942773774542e-49
1,40,-2.620737861170607e-46,-2.4856512207929739e-46,-9.0935338545103002e-52,-1.1561149544678094e-86,-5.1063981754974354e-46
1,41,-1.4069187915675578e-43,-1.3343987827361028e-43,-4.8817792314228862e-49,-3.3318996569595822e-81,-2.7413224560828921e-43
1,42,-7.5529129234686894e-41,-7.1635959883363624e-41,-2.620737861170607e-46,-9.6024666761254004e-76,-1.4716535119183663e-40
1,43,-4.0547111867018562e-38,-3.8457100042377317e-38,-1.4069187915675578e-43,-2.7674112596247776e-70,-7.9004352601275028e-38
1,44,-2.1767340593163839e-35,-2.0645337147396569e-35,-7.5529129234686894e-41,-7.9756226584357545e-65,-4.241275326968964e-35
1,45,-1.1685594723805865e-32,-1.1083257589885715e-32,-4.0547111867018562e-38,-2.2985581405193272e-59,-2.2768892860803447e-32
1,46,-6.2733030461206076e-30,-5.9499439474762754e-30,-2.1767340593163839e-35,-6.6243975569223933e-54,-1.2223268760937476e-29
1,47,-3.3677645031017164e-27,-3.1941721728471174e-27,-1.1685594723805865e-32,-1.909137829432702e-48,-6.5619483615435584e-27
1,48,3.3677645031017164e-27,-1.7147616784051323e-24,-6.2733030461206076e-30,-5.2390216748968234e-45,-1.7114001872050769e-24
2,1,-1.31015621773511e-37,-3.5812165590911016e-32,7.0334520286483826e-35,-2.2851663557231082e-60,-3.5741962086246307e-32
2,2,-2.4404933848675586e-40,-6.6709108455393774e-35,-7.0334520286483826e-35,-7.4319396367313686e-64,-1.3704387279121608e-34
2,3,-4.5460288482838869e-43,-1.2426238618875667e-37,-1.31015621773511e-37,-2.5787620995068358e-69,-2.5527846256515252e-37
2,4,-8.4681148564354113e-46,-2.3146974946680186e-40,-2.4404933848675586e-40,-8.9478847930708383e-75,-4.7551993476504332e-40
2,5,-1.5773980239666114e-48,-4.3117025643494199e-43,-4.5460288482838869e-43,-3.1047703968264452e-80,-8.8577471866135462e-43
2,6,-2.9382980370452282e-51,-8.031623590660047e-46,-8.4681148564354113e-46,-1.0773047977187484e-85,-1.6499767830075828e-45
2,7,-5.4733144224393859e-54,-1.4960906170896843e-48,-1.5773980239666114e-48,-3.7380723172770876e-91,-3.0734941143707183e-48
2,8,-1.0195415982038404e-56,-2.7868426716942896e-51,-2.9382980370452282e-51,-1.2970502571586306e-96,-5.7251509041554997e-51
2,9,-1.8991510266730934e-59,-5.1911909533154953e-54,-5.4733144224393859e-54,-4.5005532980719122e-102,-1.0664524367265148e-53
2,10,-3.5376434158916493e-62,-9.6698905135541922e-57,-1.0195415982038404e-56,-1.5616187481553189e-107,-1.9865341872026756e-56
2,11,-6.5897449766936115e-65,-1.8012587744321897e-59,-1.8991510266730934e-59,-5.4185629034432996e-113,-3.7004163908502597e-59
2,12,-1.2275046903480425e-67,-3.3552946312278531e-62,-3.5376434158916493e-62,-1.8801531406596341e-118,-6.892950322166406e-62
2,13,-2.2865342591489188e-70,-6.2500747933318549e-65,-6.5897449766936115e-65,-6.5238254041231774e-124,-1.2839842635368058e-64
2,14,-4.2592414997447361e-73,-1.1642326297868857e-67,-1.2275046903480425e-67,-2.2636612403046628e-129,-2.3917415793764279e-67
2,15,-7.9339017469610023e-76,-2.1686742336373174e-70,-2.2865342591489188e-70,-7.8545360941436016e-135,-4.455216426687983e-70
2,16,-1.4778874814730127e-78,-4.0396977470931417e-73,-4.2592414997447361e-73,-2.7253961924930657e-140,-8.2989540257126921e-73
2,17,-2.7529347823487485e-81,-7.524946640094852e-76,-7.9339017469610023e-76,-9.4566812311091296e-146,-1.5458875916403678e-75
2,18,-5.1280290352766902e-84,-1.4017093723662989e-78,-1.4778874814730127e-78,-3.2813144801896264e-151,-2.8796019818683464e-78
2,19,-9.5522356560169464e-87,-2.6110340159897227e-81,-2.7529347823487485e-81,-1.13856272139981e-156,-5.3639783505741271e-81
2,20,-1.7793426203889981e-89,-4.8637033946248735e-84,-5.1280290352766902e-84,-3.9506273427545033e-162,-9.9917502233277672e-84
2,21,-3.3163810744246372e-92,-9.0598631091512259e-87,-9.5522356560169464e-87,-1.3708033917356123e-167,-1.8612131928978916e-86
2,22,-1.0319499097505226e-92,-1.6885988233957131e-89,-1.7793426203889981e-89,-4.7565249718022366e-173,-3.4689733936944621e-89
2,23,-5.5067827029737741e-90,-5.2543702436559151e-90,-3.3163810744246372e-92,-5.1052089282534211e-174,-1.0794316757373935e-89
2,24,-2.9562651110125922e-87,-2.803883686542455e-87,-1.0319499097505226e-92,-1.4710945296436515e-168,-5.7601591170541448e-87
2,25,-1.5870434808314106e-84,-1.5052388962772377e-84,-5.5067827029737741e-90,-4.2396643497972776e-163,-3.0922878838913511e-84
2,26,-8.5198955961934852e-82,-8.0807352782119365e-82,-2.9562651110125922e-87,-1.2218625957672119e-157,-1.6600660437056531e-81
2,27,-4.573826857724771e-79,-4.3380677178911354e-79,-1.5870434808314106e-84,-3.5213830146869477e-152,-8.9119104460507149e-79
2,28,-2.4554164881775113e-76,-2.328851382590191e-76,-8.5198955961934852e-82,-1.0148553838281335e-146,-4.7842763906632987e-76
2,29,-1.3181675472108087e-73,-1.2502222452232245e-73,-4.573826857724771e-79,-2.9247924630445492e-141,-2.5683943662608907e-73
2,30,-7.0764601072196787e-71,-6.7117020610930581e-71,-2.4554164881775113e-76,-8.429192068345867e-136,-1.3788186722477619e-70
2,31,-3.7989319153722928e-68,-3.6031149444823524e-68,-1.3181675472108087e-73,-2.4292759169347817e-130,-7.4020600415301169e-68
2,32,-2.039421331989172e-65,-1.934298809002521e-65,-7.0764601072196787e-71,-7.001123515456214e-125,-3.9737272174518004e-65
2,33,-1.0948444094357734e-62,-1.0384103588585629e-62,-3.7989319153722928e-68,-2.0177094803014881e-119,-2.1332585672262519e-62
2,34,-5.8775705739216591e-60,-5.5746096123629691e-60,-2.039421331989172e-65,-5.8149974613513311e-114,-1.1452200580497946e-59
2,35,-3.1553191991209902e-57,-2.9926774193979671e-57,-1.0948444094357734e-62,-1.675870377060918e-108,-6.1480075669630517e-57
2,36,-1.6939038201456448e-54,-1.6065910905603576e-54,-5.8775705739216591e-60,-4.8298241562045928e-103,-3.3005007882765762e-54
2,37,-9.0935654075928112e-52,-8.6248351243521693e-52,-3.1553191991209902e-57,-1.3919454451344742e-97,-1.7718432085136974e-51
2,38,-4.8817961704023148e-49,-4.6301626692273899e-49,-1.6939038201456448e-54,-4.0115583084771363e-92,-9.5119757786679064e-49
2,39,-2.6207469547044626e-46,-2.485659845598173e-46,-9.0935654075928112e-52,-1.1561229011211179e-86,-5.1064158938680427e-46
2,40,-1.4069236733467895e-43,-1.3344034128827069e-43,-4.8817961704023148e-49,-3.3319225590519129e-81,-2.7413319680256667e-43
2,41,-7.5529391308473026e-41,-7.1636208448485725e-41,-2.6207469547044626e-46,-9.6025326794871658e-76,-1.4716586183165423e-40
2,42,-4.0547252558897732e-38,-3.8457233482255599e-38,-1.4069236733467895e-43,-2.7674302816586654e-70,-7.9004626733520656e-38
2,43,-2.1767416122293077e-35,-2.0645408783356457e-35,-7.5529391308473026e-41,-7.9756774795484273e-65,-4.2412900435040838e-35
2,44,-1.1685635270917736e-32,-1.108329604698576e-32,-4.0547252558897732e-38,-2.2985739398518953e-59,-2.2768971865156054e-32
2,45,-6.2733248134612022e-30,-5.9499645928134244e-30,-2.1767416122293077e-35,-6.6244430902757659e-54,-1.2223311173690749e-29
2,46,-3.3677761886964404e-27,-3.1941832561047079e-27,-1.1685635270917736e-32,-1.9091509520520314e-48,-6.5619711304364193e-27
2,47,-1.807959382688653e-24,-1.7147676283490801e-24,-6.2733248134612022e-30,-5.5021340028893606e-43,-3.5227332843625466e-24
2,48,1.807959382688653e-24,-9.2055708250745982e-22,-3.3677761886964404e-27,-1.5098753294748954e-39,-9.1875249090095984e-22
3,1,-7.0334520287330654e-35,-1.9225428641185425e-29,3.7758434276953897e-32,-6.5858027069931371e-55,-1.9187740541428758e-29
3,2,-1.3101562177508842e-37,-3.58121655913422e-32,-3.7758434276953897e-32,-2.141869805512403e-58,-7.3570730883917874e-32
3,3,-2.4404933848969425e-40,-6.670910845619694e-35,-7.0334520287330654e-35,-7.4319396369084235e-64,-1.3704387279286608e-34
3,4,-4.5460288483386199e-43,-1.2426238619025281e-37,-1.3101562177508842e-37,-2.5787620995682698e-69,-2.5527846256822607e-37
3,5,-8.4681148565373645e-46,-2.314697494695887e-40,-2.4404933848969425e-40,-8.9478847932840009e-75,-4.7551993477076862e-40
3,6,-1.5773980239856028e-48,-4.3117025644013316e-43,-4.5460288483386199e-43,-3.1047703969004093e-80,-8.8577471867201909e-43
3,7,-2.9382980370806046e-51,-8.0316235907567449e-46,-8.4681148565373645e-46,-1.077304797744413e-85,-1.6499767830274482e-45
3,8,-5.4733144225052834e-54,-1.496090617107697e-48,-1.5773980239856028e-48,-3.7380723173661377e-91,-3.0734941144077227e-48
3,9,-1.0195415982161152e-56,-2.7868426717278422e-51,-2.9382980370806046e-51,-1.2970502571895303e-96,-5.7251509042244292e-51
3,10,-1.8991510266959585e-59,-5.1911909533779949e-54,-5.4733144225052834e-54,-4.5005532981791275e-102,-1.0664524367393544e-53
3,11,-3.5376434159342408e-62,-9.6698905136706143e-57,-1.0195415982161152e-56,-1.5616187481925215e-107,-1.9865341872265925e-56
3,12,-6.5897449767729504e-65,-1.8012587744538758e-59,-1.8991510266959585e-59,-5.4185629035723847e-113,-3.7004163908948111e-59
3,13,-1.2275046903628212e-67,-3.3552946312682496e-62,-3.5376434159342408e-62,-1.8801531407044251e-118,-6.8929503222493935e-62
3,14,-2.2865342591764479e-70,-6.2500747934071034e-65,-6.5897449767729504e-65,-6.5238254042785946e-124,-1.2839842635522646e-64
3,15,-4.2592414997960157e-73,-1.1642326298009027e-67,-1.2275046903628212e-67,-2.2636612403585903e-129,-2.3917415794052239e-67
3,16,-7.9339017470565246e-76,-2.1686742336634274e-70,-2.2865342591764479e-70,-7.8545360943307165e-135,-4.4552164267416225e-70
3,17,-1.477887481490806e-78,-4.039697747141779e-73,-4.2592414997960157e-73,-2.7253961925579924e-140,-8.2989540258126095e-73
3,18,-2.7529347823818933e-81,-7.5249466401854505e-76,-7.9339017470565246e-76,-9.4566812313344177e-146,-1.5458875916589799e-75
3,19,-5.1280290353384664e-84,-1.4017093723831753e-78,-1.477887481490806e-78,-3.2813144802677961e-151,-2.8796019819030169e-78
3,20,-9.5522356752395279e-87,-2.6110340160211775e-81,-2.7529347823818933e-81,-1.1385627214269335e-156,-5.3639783506387464e-81
3,21,-1.780368392731615e-89,-4.8637034044124181e-84,-5.1280290353384664e-84,-3.9506273430172973e-162,-9.9917502434348118e-84
3,22,-5.5399272911386405e-90,-9.065086025130852e-87,-9.5522356752395279e-87,-1.3708207701145498e-167,-1.8622861627661519e-86
3,23,-2.9562651727882639e-87,-2.8207598872326421e-87,-1.780368392731615e-89,-1.4713107733296633e-168,-5.7948287439482222e-87
3,24,-1.5870434808506339e-84,-1.505238927731502e-84,-5.5399272911386405e-90,-4.239664351585188e-163,-3.0922879485094269e-84
3,25,-8.5198955962960654e-82,-8.080735278309814e-82,-2.9562651727882639e-87,-1.2218625957963554e-157,-1.6600660437257609e-81
3,26,-4.5738268577798401e-79,-4.3380677179433658e-79,-1.5870434808506339e-84,-3.5213830147709349e-152,-8.9119104461580138e-79
3,27,-2.4554164882070748e-76,-2.3288513826182305e-76,-8.5198955962960654e-82,-1.0148553838523382e-146,-4.7842763907209013e-76
3,28,-1.3181675472266796e-73,-1.2502222452382774e-73,-4.5738268577798401e-79,-2.9247924631143074e-141,-2.5683943662918146e-73
3,29,-7.0764601073048796e-71,-6.7117020611738675e-71,-2.4554164882070748e-76,-8.4291920685469093e-136,-1.3788186722643628e-70
3,30,-3.7989319154180319e-68,-3.6031149445257343e-68,-1.3181675472266796e-73,-2.4292759169927224e-130,-7.4020600416192389e-68
3,31,-2.0394213320137269e-65,-1.93429880902581e-65,-7.0764601073048796e-71,-7.0011235156231994e-125,-3.9737272174996435e-65
